station,agency,station_type,vertical_datum,park,lat_nad83,long_nad83,ground_surface_elevation_ft,basin,NGVD29_NAVD88_conversion,comments
1X7,USGS,,,,26.52462,-80.33861,,Loxahatchee,-1.46,
1X8C,USGS,,,,26.4974,-80.22222,,Loxahatchee,-1.489,
1X8T,USGS,,,,26.49768,-80.22694,,Loxahatchee,-1.489,
1X9,USGS,,,,26.46018,-80.29083,,Loxahatchee,-1.486,
1XN,USGS,Marsh,NAVD88,,26.59389,-80.35361,13.08,WCA1,-1.463,
1XS,USGS,Marsh,NAVD88,,26.421389,-80.337861,11.05,WCA1,-1.473,
2A17,USGS,,,,26.28519,-80.41083,,WCA2A,-1.486,
2A19,USGS,,,,26.28075,-80.30611,,WCA2A,-1.526,
2A300,SFWMD,,,,26.24464,-80.40833,,WCA2A,-1.493,
2B21,USGS,,,,26.12797,-80.36611,,WCA2B,-1.549,
2BXY,SFWMD,,,,26.12797,-80.36611,,WCA2B,-1.549,
3A10,SFWMD,,,,26.27769,-80.74,,WCA3A,-1.45,
3A11,SFWMD,,,,26.21658,-80.74389,,WCA3A,-1.453,
3A12,SFWMD,,,,26.16741,-80.67583,,WCA3A,-1.463,
3A2,USGS,,,,26.17325,-80.75111,10,WCA3A,-1.457,
3A28,USGS,,,,25.81482,-80.71978,7.06,WCA3A,-1.516,
3A3,USGS,,,,26.18742,-80.53083,8.6,WCA3A,-1.47,
3A36,SFWMD,,,,26.18991,-80.44916,,WCA2A,-1.483,
3A4,USGS,,,,25.97409,-80.66916,8.26,WCA3A,-1.493,
3A5,USGS,marsh,NAVD88,,26.05667,-80.70528,7.71,WCA3A,-1.476,
3A9,SFWMD,,,,26.1213,-80.64777,,WCA3A,-1.47,
3AL67,SFWMD,,,,25.89881,-80.59973,,WCA3A,-1.519,
3ANE,SFWMD,,,,26.27713,-80.605,,WCA3A,-1.457,
3ANW,SFWMD,,,,26.28407,-80.77583,,WCA3A,-1.447,
3AS,SFWMD,,,,26.08186,-80.68445,,WCA3A,-1.473,
3AS3W1,SFWMD,,,,25.85576,-80.77139,,WCA3A,-1.496,
3AS3W2,SFWMD,,,,25.85548,-80.76777,,WCA3A,-1.496,
3AS3W3,SFWMD,,,,25.85159,-80.76889,,WCA3A,-1.499,
